Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Tonga,TON,..,14.476511477886,16.9455164932158,16.314712408684,15.3684317703949,16.1755242917596,17.471266263449,16.9544123599128,16.6050121393047,17.955114940188,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Trinidad and Tobago,TTO,..,341.4331506269,621.397923882301,645.57414133149,728.900601158154,703.793459650667,766.662379486,845.243985525922,875.719617695435,816.624758886796,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Tunisia,TUN,..,114.607713264181,261.606416021447,258.11131001092,264.145435966086,272.568243476485,281.487492960978,248.400600995134,249.414213853191,264.569696193498,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Turkiye,TUR,..,125,183,177,184,200,201,206,210,226,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Turkmenistan,TKM,..,86.2096970987402,488.321485111141,591.420078836389,674.63720069915,732.957382972117,766.193645116742,721.583191180552,699.149199894458,753.373507048779,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Tuvalu,TUV,..,0.58691445529489,3.54679175017939,1.31241242702273,3.91007770620733,3.38462621748595,2.91974990830483,3.39031030765785,3.52111475520724,3.64957923180823,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Uganda,UGA,..,20.6805257242564,49.6132909809348,45.6380794132574,44.8460852840811,34.0760767764035,33.8013690178103,36.0958971902981,35.0259131350268,37.1649742535146,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Ukraine,UKR,..,110,354,364,388,413,458,460,450,501,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,United Arab Emirates,ARE,..,490.81872111541,496.290487389311,429.809613609129,428.959725083707,325.759616132152,381.211929189449,418.409929050716,466.065300791549,425.571941194386,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,United Kingdom,GBR,..,321.559588229887,593.37624107107,609.193678465455,625.229628709353,652.205881459843,713.733267275547,771.141556013854,711.195620882341,780.946558781181,871.356946289073,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Uruguay,URY,..,260.10976132311,302.04540747266,309.007179222205,321.209169714933,336.305229414311,347.664307610326,351.9070425368,353.320977466748,361.910164762358,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Uzbekistan,UZB,..,96,132,155,177,190,226,244,284,406,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Vanuatu,VUT,..,7.35607200756032,9.04971232766316,9.17329425695855,9.27487809541694,9.0520701313983,8.86335582355644,8.56710944472524,10.496114232058,9.96034256869698,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,"Venezuela, RB",VEN,..,..,..,..,..,..,..,26.9316242012653,28.0167531567621,28.9038205672265,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Viet Nam,VNM,..,36.2585414869134,139.351302188194,150.776200678358,166.715783877639,192.344995363865,221.101250111286,239.782379480621,202.491427538164,214.595856766009,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,"Yemen, Rep.",YEM,..,56.0834185112177,125.732234178103,82.8121965338706,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Zambia,ZMB,..,32.4459541557094,18.3281187382717,18.2002018562373,18.0264535068087,17.3004529400764,17.1937401008271,17.2141490925492,17.2089280258794,16.6729052721915,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Zimbabwe,ZWE,..,..,51.7641633204923,50.2801782378913,47.0211717607873,15.1815844663684,9.77085281568473,6.54147729798181,6.26739968204761,6.47473479851383,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Africa Eastern and Southern,AFE,..,27.4391567831756,41.4662128984727,44.1153399585945,46.1664850535049,42.360194638781,38.3630603075549,39.2509138159748,34.9107634362084,35.2675410610909,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Africa Western and Central,AFW,..,47.5080878253776,92.4072993956858,94.4796798569253,96.0699946626169,99.9993168306734,88.613590202331,85.3418692988104,93.2425623316095,110.596722262477,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Arab World,ARB,..,147.915335563655,242.799892839186,262.255667561498,275.520747314919,277.592853038545,272.52476135414,268.101077500649,257.227622331739,258.805955591188,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Caribbean small states,CSS,..,142.279319568983,270.900244692673,266.208392066056,262.979775305587,282.724150309294,296.8855866406,309.990848983744,287.946836159312,325.889423178651,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Central Europe and the Baltics,CEB,..,134.573945145775,362.994018298377,382.104159935543,413.317124896022,436.789804771791,437.169213918197,477.965404571922,490.940768981867,551.642002786016,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Early-demographic dividend,EAR,..,82.2683202193923,153.423140246369,158.771764575078,162.759846599754,151.115316674168,154.82205426068,156.031526137717,153.235741761595,167.156015213641,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,East Asia & Pacific,EAS,..,95.459493131721,233.542022596758,240.678411174921,252.457785731059,265.742394398462,287.962384359073,310.11456398703,321.389799873096,340.58604870024,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,East Asia & Pacific (excluding high income),EAP,..,69.4317729452947,190.127653476569,194.618380565912,206.263267322612,219.886643816371,240.371157106828,263.352827760048,278.52000911406,294.355489674277,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,..,69.4322618991723,190.127473857243,194.61835500306,206.263166308163,219.886455700647,240.370718414719,263.352042881699,278.519311428125,294.35467947876,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Euro area,EMU,..,344.882932096166,650.287785583287,666.772362438629,698.210854231039,732.540254144626,762.68096024614,812.610024451752,782.738434004202,845.957494868831,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Europe & Central Asia,ECS,..,229.466987977655,502.218271378593,517.107282198411,541.149659887368,569.720904883014,593.833386883524,629.017091615176,612.7165154393,674.825959492907,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Europe & Central Asia (excluding high income),ECA,..,109.162734316939,263.826741076539,273.751622287591,288.420636519909,301.092307684119,314.781336531981,327.126617251492,334.487827609719,377.082798152979,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,..,113.309969940071,344.57449651327,357.86268259312,377.14164500779,402.458277627204,416.587459514762,436.71621432326,435.304363557064,493.406672656225,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,European Union,EUU,..,301.155748212561,597.679531905168,615.027281236301,646.019475985558,678.003125743228,701.658537734409,748.639762258278,728.05142551161,790.914196175889,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Fragile and conflict affected situations,FCS,..,46.4909813903606,104.807973303107,110.74413765202,113.4819843362,117.405283300108,110.221853680252,107.217263675216,109.523720082054,118.662405299131,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Heavily indebted poor countries (HIPC),HPC,..,28.8637884314254,51.8947071558351,54.1422005113836,56.5903800760443,56.019486874019,54.3300324479558,56.5447725841885,53.6747281016237,57.0258040518488,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,High income,HIC,..,381.189476490372,704.388006742095,727.364228896735,754.761118162349,778.731656966406,810.060870872363,843.378094061001,818.228523512608,894.718235470397,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,IBRD only,IBD,..,98.2663105219942,212.98907341555,216.839266878503,224.689721606043,225.983242545497,237.655162591845,249.113587782344,251.326386456542,270.28980787602,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,IDA & IBRD total,IBT,..,84.6140754527245,178.493801252651,182.039976718823,188.953043800132,189.569797136129,197.566574197422,206.486305812903,208.202429321441,224.58236614854,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,IDA blend,IDB,..,47.2363512558655,92.5523577208764,97.2600978003528,100.862801439831,104.210327812304,99.1259635222393,98.6239306185446,106.525589421278,131.611378749079,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,IDA only,IDX,..,28.9223194794329,64.8846602931165,68.3480170519068,71.1343318152872,70.4472221589687,71.1628162302076,75.2287426138784,74.2506181341074,77.8887125835453,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,IDA total,IDA,..,35.0688252354082,74.5288322328552,78.4053857523118,81.6604649980993,82.2951977093914,80.9572550438973,83.4069302188783,85.5116734590244,96.6054371719203,..,..
